"Tag","Sector"
"Project Management","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Entrepreneurship","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Process Integration","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design verification","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Objectives","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Decision Making","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design automation","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Power-aware computing","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Business","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Focus","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Reliability","Energy, Agriculture, Manufacturing & Devices, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Testing and verification","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Managing Competencies","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Innovation","Communications, Entertainment, Transportation, Defense, Environment, Computing & IT, Financial Services, Healthcare, Education, Energy, Manufacturing & Devices, Agriculture, Critical Infrastructure, Retail"
"Embedded Systems","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Hardware/software co-design","Environment, Energy, Education, Computing & IT, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation"
"Timing","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Design for manufacture","Energy, Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Retail, Healthcare, Education, Entertainment, Transportation, Defense, Environment"
"Evaluating personnel","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"Finding opportunities","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"Solving problems","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"design","Environment, Energy, Education, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Defense, Agriculture, Financial Services, Transportation"
"Finding problems","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"ergonomics","Energy, Computing & IT, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Financial Services, Transportation"
"Managing technology","Manufacturing & Devices, Agriculture, Computing & IT, Critical Infrastructure, Financial Services, Communications, Retail, Healthcare, Education, Entertainment, Transportation, Environment"
"reliability","Energy, Education, Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Communications, Defense, Agriculture, Financial Services, Transportation"
"Logic synthesis","Environment, Education, Computing & IT, Healthcare, Retail, Entertainment, Manufacturing & Devices, Critical Infrastructure, Defense, Financial Services, Transportation"
"warning systems","Energy, Computing & IT, Healthcare, Retail, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Financial Services, Transportation"
"wireless antennas","Environment, Energy, Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Transportation"
"wireless propagation and impairments","Environment, Energy, Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Communications, Agriculture, Financial Services, Transportation"
"availability","Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Financial Services, Transportation"
"Diagnostics","Environment, Energy, Education, Healthcare, Manufacturing & Devices, Critical Infrastructure, Defense, Agriculture, Transportation"
"sensors and actuators","Environment, Energy, Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Communications, Defense, Agriculture"
"monitoring","Environment, Computing & IT, Healthcare, Entertainment, Manufacturing & Devices, Defense, Agriculture, Financial Services"
"RFID","Agriculture, Computing & IT, Critical Infrastructure, Communications, Healthcare, Retail, Transportation, Defense"
"Thermal Stress","Environment, Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"Electrical Stress","Environment, Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"dependability","Computing & IT, Healthcare, Entertainment, Communications, Defense, Agriculture, Financial Services, Transportation"
"power-aware design","Environment, Energy, Computing & IT, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture"
"antennas","Education, Computing & IT, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"wireless sensing","Environment, Energy, Computing & IT, Healthcare, Critical Infrastructure, Manufacturing & Devices, Agriculture, Transportation"
"Environmental Stress","Environment, Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"Multifactor Stress","Environment, Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"Mechanical Stress","Environment, Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"Electrical Insulating Materials","Energy, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"reliable power","Healthcare, Retail, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services"
"trust","Computing & IT, Healthcare, Retail, Entertainment, Communications, Defense, Financial Services"
"Electrical Insulation Systems","Energy, Education, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"wireless sensors","Environment, Energy, Computing & IT, Healthcare, Manufacturing & Devices, Agriculture, Transportation"
"Vulnerability","Computing & IT, Retail, Manufacturing & Devices, Communications, Defense, Financial Services, Transportation"
"warranty","Computing & IT, Healthcare, Retail, Entertainment, Manufacturing & Devices, Defense, Transportation"
"energy storage","Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Transportation"
"adaptive antenna arrays","Computing & IT, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense"
"system security","Communications, Defense, Energy, Education, Computing & IT, Financial Services"
"service life","Retail, Manufacturing & Devices, Communications, Defense, Transportation, Computing & IT"
"Secure Communications","Transportation, Defense, Critical Infrastructure, Education, Computing & IT, Financial Services"
"cognitive radio","Environment, Education, Manufacturing & Devices, Critical Infrastructure, Communications, Defense"
"endurance","Communications, Defense, Transportation, Energy, Agriculture, Computing & IT"
"wireless propagation modeling","Environment, Energy, Healthcare, Entertainment, Manufacturing & Devices, Communications"
"usability","Defense, Entertainment, Transportation, Healthcare, Education, Computing & IT"
"hazards","Retail, Manufacturing & Devices, Communications, Energy, Healthcare, Computing & IT"
"human-machine interfaces","Energy, Education, Entertainment, Manufacturing & Devices, Defense, Transportation"
"risk mitigation","Retail, Manufacturing & Devices, Defense, Transportation, Critical Infrastructure, Financial Services"
"wireless control and communication","Computing & IT, Entertainment, Manufacturing & Devices, Communications, Agriculture, Transportation"
"testability","Manufacturing & Devices, Communications, Defense, Transportation, Education, Computing & IT"
"human-machine interaction","Energy, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Transportation"
"maintainability","Manufacturing & Devices, Communications, Defense, Transportation, Education"
"Failure Mechanisms","Manufacturing & Devices, Defense, Transportation, Energy, Critical Infrastructure"
"decision support","Defense, Transportation, Critical Infrastructure, Healthcare, Computing & IT"
"situational awareness","Retail, Manufacturing & Devices, Defense, Healthcare, Critical Infrastructure"
"risk assessment","Retail, Defense, Transportation, Critical Infrastructure, Financial Services"
"software defined radio","Manufacturing & Devices, Communications, Defense, Transportation, Critical Infrastructure"
"noise analysis","Manufacturing & Devices, Communications, Defense, Agriculture, Computing & IT"
"batteries","Energy, Manufacturing & Devices, Critical Infrastructure, Defense, Transportation"
"place and route","Manufacturing & Devices, Defense, Agriculture, Critical Infrastructure, Computing & IT"
"circuit analysis","Manufacturing & Devices, Communications, Defense, Critical Infrastructure, Computing & IT"
"fault","Manufacturing & Devices, Defense, Transportation, Energy, Healthcare"
"thermal analysis","Manufacturing & Devices, Communications, Defense, Critical Infrastructure, Computing & IT"
"energy efficiency solutions","Retail, Manufacturing & Devices, Energy, Critical Infrastructure, Environment"
"chip/package co-design","Communications, Defense, Entertainment, Healthcare, Critical Infrastructure"
"Physical Computing","Manufacturing & Devices, Energy, Critical Infrastructure, Computing & IT, Environment"
"emissions","Communications, Entertainment, Transportation, Energy"
"communication systems","Manufacturing & Devices, Critical Infrastructure, Education, Computing & IT"
"satellite observation","Communications, Defense, Transportation, Environment"
"design specification","Communications, Defense, Critical Infrastructure, Computing & IT"
"sensor networks","Manufacturing & Devices, Communications, Critical Infrastructure, Computing & IT"
"smart sensors","Manufacturing & Devices, Agriculture, Healthcare, Computing & IT"
"energy harvesting","Communications, Defense, Critical Infrastructure, Healthcare"
"wireless radios","Communications, Agriculture, Healthcare, Education"
"maintenance","Manufacturing & Devices, Transportation, Energy, Agriculture"
"Environmental Sensors","Defense, Agriculture, Computing & IT, Environment"
"system safety","Defense, Transportation, Energy, Education"
"information security","Communications, Energy, Critical Infrastructure, Computing & IT"
"documentation","Defense, Critical Infrastructure, Education, Computing & IT"
"formal methods","Manufacturing & Devices, Defense, Energy, Critical Infrastructure"
"reconfigurable antennas","Communications, Defense, Transportation, Computing & IT"
"security","Communications, Transportation, Energy, Education"
"Antennas","Communications, Defense, Critical Infrastructure, Computing & IT"
"wearable sensors","Communications, Defense, Entertainment, Healthcare"
"reconfiguration","Communications, Defense, Energy, Computing & IT"
"Sensing","Defense, Healthcare, Critical Infrastructure, Computing & IT"
"fault accomodation","Manufacturing & Devices, Energy, Healthcare, Computing & IT"
"Intelligent Systems","Communications, Defense, Education, Computing & IT"
"integrity","Defense, Healthcare, Computing & IT"
"timing analysis","Communications, Agriculture, Computing & IT"
"product liability","Communications, Defense, Computing & IT"
"user-centered design","Entertainment, Education, Computing & IT"
"Energy Harvesting","Defense, Energy, Critical Infrastructure"
"Wireless Propagation Modeling","Communications, Defense, Agriculture"
"Standards","Communications, Healthcare, Computing & IT"
"electric traction","Defense, Transportation, Environment"
"NEMP","Defense, Energy, Critical Infrastructure"
"smart antennas","Defense, Transportation, Computing & IT"
"distributed sensor networks","Manufacturing & Devices, Transportation, Critical Infrastructure"
"recovery","Defense, Critical Infrastructure, Computing & IT"
"remote power","Agriculture, Critical Infrastructure, Environment"
"distributed_generation","Defense, Energy, Environment"
"failure analysis","Manufacturing & Devices, Defense, Computing & IT"
"weather monitoring","Defense, Agriculture, Environment"
"wearable antennas","Communications, Defense, Healthcare"
"Security & privacy","Communications, Entertainment, Computing & IT"
"3D imaging","Defense, Transportation, Healthcare"
"Ground Mobile Radar","Communications, Transportation, Defense"
"Simulation","Entertainment, Transportation, Computing & IT"
"degradation","Defense, Energy, Computing & IT"
"Virtual Worlds","Entertainment, Education, Computing & IT"
"fiber optics","Manufacturing & Devices, Communications, Energy"
"sensors for condition-based maintenance","Manufacturing & Devices, Defense, Transportation"
"multiband antennas","Manufacturing & Devices, Communications, Defense"
"phased arrays","Communications, Defense, Transportation"
"antenna packaging","Retail, Manufacturing & Devices, Defense"
"electromagnetic imaging","Retail, Defense, Healthcare"
"wearable computing","Entertainment, Healthcare, Computing & IT"
"weather prediction","Defense, Agriculture, Environment"
"photovoltaics","Defense, Energy, Environment"
"wear","Defense, Energy, Agriculture"
"modeling","Communications, Energy, Environment"
"Situational Awareness","Defense, Critical Infrastructure, Computing & IT"
"Communications","Communications, Defense, Energy"
"Integrated Circuits","Manufacturing & Devices, Entertainment, Agriculture"
"structural health monitoring","Transportation, Healthcare, Critical Infrastructure"
"Sensor Networks","Communications, Defense, Computing & IT"
"radio","Communications, Entertainment, Education"
"Biometrics","Defense, Healthcare, Computing & IT"
"Distributed Power","Defense, Healthcare, Environment"
"optical sensors","Energy, Agriculture, Environment"
"remote sensing","Critical Infrastructure, Healthcare, Environment"
"hazard analysis","Retail, Defense, Healthcare"
"Shipborne Radar","Communications, Transportation, Defense"
"electromagnetic packaging","Retail, Manufacturing & Devices, Communications"
"scheduled maintenance","Manufacturing & Devices, Defense, Energy"
"drive systems","Manufacturing & Devices, Defense, Agriculture"
"acceptance testing","Manufacturing & Devices, Defense, Energy"
"HCI","Entertainment, Education, Computing & IT"
"lasers","Manufacturing & Devices, Defense, Healthcare"
"immunity","Communications, Entertainment, Transportation"
"communication","Critical Infrastructure, Education, Computing & IT"
"Biodielectrics","Agriculture, Healthcare, Environment"
"sensor devices","Energy, Agriculture, Computing & IT"
"reliability modeling","Computing & IT, Defense"
"protection","Energy, Critical Infrastructure"
"safety","Transportation, Energy"
"upgradeability","Defense, Communications"
"algorithm","Energy, Computing & IT"
"web design","Education, Computing & IT"
"Handheld Television","Entertainment, Communications"
"GPS","Transportation, Defense"
"electromagnetic interference","Retail, Communications"
"interoperability","Critical Infrastructure, Communications"
"user education","Computing & IT, Education"
"solid state lighting","Transportation, Environment"
"system integration","Defense, Communications"
"hybrid vehicles","Transportation, Environment"
"portable devices","Defense, Communications"
"supportability","Defense, Transportation"
"network management","Communications, Education"
"inverters","Energy, Transportation"
"Service Management","Computing & IT, Communications"
"Electronic Packaging","Energy, Entertainment"
"embedded power","Computing & IT, Defense"
"efficiency","Energy, Transportation"
"analysis","Energy, Environment"
"usability evaluation","Computing & IT, Entertainment"
"bioremediation","Healthcare, Environment"
"fuel_cells","Energy, Transportation"
"signal processing","Communications, Healthcare"
"distributed monitoring systems","Transportation, Healthcare"
"Networking","Communications, Computing & IT"
"devices","Energy, Manufacturing & Devices"
"safety critical","Energy, Critical Infrastructure"
"sensing and instrumentation","Computing & IT, Manufacturing & Devices"
"training and continuing education","Energy, Defense"
"AI","Entertainment, Education"
"Electronics packaging","Energy, Computing & IT"
"forensics","Energy, Communications"
"performance","Energy, Communications"
"synthetic aperture radar","Defense, Transportation"
"compatibility","Computing & IT, Energy"
"Electric Ship","Transportation, Defense"
"high resolution imaging","Defense, Healthcare"
"Screening","Defense, Healthcare"
"Target Avoidance Radar","Transportation, Defense"
"fault tolerance","Energy, Defense"
"detection systems","Transportation, Critical Infrastructure"
"distributed networking","Transportation, Communications"
"Handheld Radar","Transportation, Defense"
"measurement uncertainty","Computing & IT, Agriculture"
"Lightning","Defense, Critical Infrastructure"
"image processing","Computing & IT, Entertainment"
"quality","Energy, Manufacturing & Devices"
"Coding and marketing technology (optical & RFID)","Retail, Communications"
"Nano Sensors","Computing & IT, Defense"
"built-in test","Energy, Defense"
"simplified language","Computing & IT, Manufacturing & Devices"
"UWB","Defense, Critical Infrastructure"
"Satellite TV","Entertainment, Communications"
"performance evaluation","Computing & IT, Communications"
"mobile sensor networks","Transportation, Communications"
"testing","Communications, Energy"
"failure mode & effects baseline","Transportation, Manufacturing & Devices"
"microwave imaging","Defense, Healthcare"
"infrastructure","Energy, Transportation"
"logistics","Transportation, Energy"
"biological impact","Healthcare, Environment"
"satellite","Communications, Defense"
"sustainability","Critical Infrastructure, Environment"
"electronic packaging","Energy, Healthcare"
"human factors","Computing & IT, Defense"
"intelligent systems","Communications, Healthcare"
"Certification","Computing & IT, Education"
"terahertz imaging","Defense, Healthcare"
"fatigue","Agriculture, Defense"
"standards","Energy, Healthcare"
"SGEMP","Defense, Critical Infrastructure"
"communication tools","Computing & IT, Defense"
"mems","Energy, Healthcare"
"yield","Agriculture, Manufacturing & Devices"
"field failures","Transportation, Manufacturing & Devices"
"Design productivity","Computing & IT, Agriculture"
"circuit","Energy, Manufacturing & Devices"
"prognostics","Defense, Transportation"
"Environmental Acoustics","Energy, Defense"
"Mobile Television","Entertainment, Communications"
"Multimedia","Computing & IT, Entertainment"
"LEMP","Defense, Critical Infrastructure"
"data mining","Healthcare, Environment"
"new media","Computing & IT, Education"
"measuring performance","Computing & IT, Manufacturing & Devices"
"bridge monitoring","Transportation, Critical Infrastructure"
"PLCs","Energy, Manufacturing & Devices"
"diagnostic tools","Manufacturing & Devices, Healthcare"
"Content Delivery","Computing & IT, Entertainment"
"integrated circuits","Computing & IT, Entertainment"
"Hardware design","Computing & IT, Agriculture"
"integrated systems","Defense, Entertainment"
"sensing and vehicle communications","Transportation, Critical Infrastructure"
"knowledge management","Computing & IT, Education"
"transportation","Energy, Critical Infrastructure"
"standardization","Energy, Manufacturing & Devices"
"technical communication","Computing & IT, Education"
"Systems engineering","Computing & IT, Communications"
"design specificaton","Computing & IT, Communications"
"Airborne Radar","Transportation, Defense"
"nanotechnology","Communications, Healthcare"
"beamforming","Computing & IT, Defense"
"Ground Fixed Radar","Communications, Defense"
"Consumer","Entertainment, Financial Services"
"Command Control Communication Intelligence","Computing & IT, Defense"
"All Weather Operation","Defense, Agriculture"
"automation","Energy, Manufacturing & Devices"
"failures","Energy, Transportation"
"hazard severity","Energy, Defense"
"content management","Computing & IT, Education"
"user support","Computing & IT, Education"
"product safety","Retail, Communications"
"severity of consequences","Energy, Defense"
"susceptibility","Defense, Transportation"
"Software Engineering","Communications, Computing & IT"
"data visualization","Computing & IT, Critical Infrastructure"
"measurement theory","Computing & IT, Agriculture"
"Social computing","Computing & IT, Entertainment"
"usability testing","Computing & IT, Education"
"Maintainability","Energy, Agriculture"
"Strategy","Manufacturing & Devices, Agriculture"
"hazard anlysis","Energy, Manufacturing & Devices"
"HPM","Defense, Critical Infrastructure"
"power aware design","Energy, Healthcare"
"test","Energy, Agriculture"
"localization","Computing & IT, Manufacturing & Devices"
"error correction codes","Computing & IT, Communications"
"product and functional safety","Energy, Entertainment"
"fail-safe systems","Transportation, Critical Infrastructure"
"Internet","Communications, Education"
"millimeter wave imaging","Defense, Healthcare"
"high performance design","Defense, Entertainment"
"Space Radar","Transportation, Defense"
"spread spectrum","Computing & IT, Communications"
"condition based maintenance","Manufacturing & Devices, Transportation"
"HEDP","Defense"
"Mobile Computing","Computing & IT"
"atmospheric sensing","Agriculture"
"Intelligent systems","Education"
"DC","Energy"
"Space Radiation","Defense"
"Local Area Networks","Computing & IT"
"parasites","Healthcare"
"battery management","Transportation"
"Anticipating the Enemy","Defense"
"Self-Aware Systems","Entertainment"
"defining purpose","Manufacturing & Devices"
"Sonar","Defense"
"broadband","Communications"
"WHN","Communications"
"Lasers","Transportation"
"self aware systems","Critical Infrastructure"
"Design Automation","Computing & IT"
"shipping","Transportation"
"Precision time transfer to challenged platforms","Communications"
"CT","Healthcare"
"longer lifetime implants","Healthcare"
"Trading","Financial Services"
"solar","Energy"
"lead-acid","Energy"
"Web services","Computing & IT"
"Ladar","Defense"
"Autonomous self-aware machines","Computing & IT"
"gaining commitment","Manufacturing & Devices"
"optical","Communications"
"battery-ultracapacitor combination","Manufacturing & Devices"
"Personal Security","Retail"
"submarine","Energy"
"Susceptibility","Critical Infrastructure"
"Worm","Defense"
"animation","Entertainment"
"transmitters and receivers","Communications"
"interoperable communications","Critical Infrastructure"
"E-Commerce","Computing & IT"
"Design specification","Communications"
"seismic","Energy"
"black_out","Energy"
"Black Body Sources","Defense"
"disk laser","Manufacturing & Devices"
"induction","Energy"
"Multicultural","Education"
"consumer products","Manufacturing & Devices"
"deterioration","Defense"
"authoring tools","Computing & IT"
"Liquid Dielectrics","Energy"
"Tampering","Retail"
"ink-jet printing","Manufacturing & Devices"
"Laser TV","Entertainment"
"entity","Computing & IT"
"liability","Manufacturing & Devices"
"object-oriented programming","Computing & IT"
"Motes","Communications"
"condition_assessment","Energy"
"EM Shielding","Critical Infrastructure"
"pricing","Energy"
"face recognition","Computing & IT"
"speech privacy","Communications"
"aging workforce","Energy"
"Emission","Defense"
"active parallel energy storage","Manufacturing & Devices"
"system and equipment health management","Manufacturing & Devices"
"emergency preparedness","Critical Infrastructure"
"traceability","Healthcare"
"Arcing","Critical Infrastructure"
"Environmental Assessment","Computing & IT"
"SCADA","Manufacturing & Devices"
"4G","Communications"
"Mission Planning","Defense"
"renewable","Energy"
"fault recovery","Defense"
"Digital TV","Entertainment"
"discrete and continuus manufacturing sectors","Manufacturing & Devices"
"derating factors","Defense"
"range finding","Defense"
"volume","Manufacturing & Devices"
"HEMP","Critical Infrastructure"
"Nanoelectronics for computing","Computing & IT"
"single particle radiation effects","Defense"
"Safety","Defense"
"duplication","Computing & IT"
"communication networks for manufacturing plants","Manufacturing & Devices"
"Internet computing","Computing & IT"
"design of experiments (DOE)","Defense"
"C3I","Defense"
"energy","Critical Infrastructure"
"Operating systems","Computing & IT"
"operational oceanography","Defense"
"cloud computing","Computing & IT"
"coal burning","Environment"
"large scale systems","Manufacturing & Devices"
"Radars","Critical Infrastructure"
"floating point","Communications"
"Electronic Burnout","Defense"
"text analysis","Computing & IT"
"response systems","Critical Infrastructure"
"productivity","Manufacturing & Devices"
"miniaturized antennas","Energy"
"assessment","Healthcare"
"Machine Translation","Computing & IT"
"Distributed systems","Computing & IT"
"wearable power","Healthcare"
"domain engineering","Computing & IT"
"airborne observation","Environment"
"Neural Systems","Healthcare"
"relay","Energy"
"Music on Demand","Entertainment"
"cybernetics","Computing & IT"
"control_systems","Energy"
